,pclass,survived,sex,age,sibsp,parch,fare,embarked
0,1,1,0,29.0,0,0,211.3375,3
1,1,1,1,0.9167,1,2,151.55,3
2,1,0,0,2.0,1,2,151.55,3
3,1,0,1,30.0,1,2,151.55,3
4,1,0,0,25.0,1,2,151.55,3
5,1,1,1,48.0,0,0,26.55,3
6,1,1,0,63.0,1,0,77.9583,3
7,1,0,1,39.0,0,0,0.0,3
8,1,1,0,53.0,2,0,51.4792,3
9,1,0,1,71.0,0,0,49.5042,0
10,1,0,1,47.0,1,0,227.525,0
11,1,1,0,18.0,1,0,227.525,0
12,1,1,0,24.0,0,0,69.3,0
13,1,1,0,26.0,0,0,78.85,3
14,1,1,1,80.0,0,0,30.0,3
15,1,0,1,28.0,0,0,25.925,3
16,1,0,1,24.0,0,1,247.5208,0
17,1,1,0,50.0,0,1,247.5208,0
18,1,1,0,32.0,0,0,76.2917,0
19,1,0,1,36.0,0,0,75.2417,0
20,1,1,1,37.0,1,1,52.5542,3
21,1,1,0,47.0,1,1,52.5542,3
22,1,1,1,26.0,0,0,30.0,0
23,1,1,0,42.0,0,0,227.525,0
24,1,1,0,29.0,0,0,221.7792,3
25,1,0,1,25.0,0,0,26.0,0
26,1,1,1,25.0,1,0,91.0792,0
27,1,1,0,19.0,1,0,91.0792,0
28,1,1,0,35.0,0,0,135.6333,3
29,1,1,1,28.0,0,0,26.55,3
30,1,0,1,45.0,0,0,35.5,3
31,1,1,1,40.0,0,0,31.0,0
32,1,1,0,30.0,0,0,164.8667,3
33,1,1,0,58.0,0,0,26.55,3
34,1,0,1,42.0,0,0,26.55,3
35,1,1,0,45.0,0,0,262.375,0
36,1,1,0,22.0,0,1,55.0,3
37,1,1,1,28.0,0,0,26.55,3
38,1,0,1,41.0,0,0,30.5,3
39,1,0,1,48.0,0,0,50.4958,0
40,1,0,1,28.0,0,0,39.6,0
41,1,1,0,44.0,0,0,27.7208,0
42,1,1,0,59.0,2,0,51.4792,3
43,1,1,0,60.0,0,0,76.2917,0
44,1,1,0,41.0,0,0,134.5,0
45,1,0,1,45.0,0,0,26.55,3
46,1,0,1,28.0,0,0,31.0,3
47,1,1,1,42.0,0,0,26.2875,3
48,1,1,0,53.0,0,0,27.4458,0
49,1,1,1,36.0,0,1,512.3292,0
50,1,1,0,58.0,0,1,512.3292,0
51,1,0,1,33.0,0,0,5.0,3
52,1,0,1,28.0,0,0,47.1,3
53,1,0,1,17.0,0,0,47.1,3
54,1,1,1,11.0,1,2,120.0,3
55,1,1,0,14.0,1,2,120.0,3
56,1,1,1,36.0,1,2,120.0,3
57,1,1,0,36.0,1,2,120.0,3
58,1,0,1,49.0,0,0,26.0,3
59,1,1,0,28.0,0,0,27.7208,0
60,1,0,1,36.0,1,0,78.85,3
61,1,1,0,76.0,1,0,78.85,3
62,1,0,1,46.0,1,0,61.175,3
63,1,1,0,47.0,1,0,61.175,3
64,1,1,1,27.0,1,0,53.1,3
65,1,1,0,33.0,1,0,53.1,3
66,1,1,0,36.0,0,0,262.375,0
67,1,1,0,30.0,0,0,86.5,3
68,1,1,1,45.0,0,0,29.7,0
69,1,1,0,28.0,0,1,55.0,3
70,1,0,1,28.0,0,0,0.0,3
71,1,0,1,27.0,1,0,136.7792,0
72,1,1,0,26.0,1,0,136.7792,0
73,1,1,0,22.0,0,0,151.55,3
74,1,0,1,28.0,0,0,52.0,3
75,1,0,1,47.0,0,0,25.5875,3
76,1,1,0,39.0,1,1,83.1583,0
77,1,0,1,37.0,1,1,83.1583,0
78,1,1,0,64.0,0,2,83.1583,0
79,1,1,0,55.0,2,0,25.7,3
80,1,0,1,28.0,0,0,26.55,3
81,1,0,1,70.0,1,1,71.0,3
82,1,1,0,36.0,0,2,71.0,3
83,1,1,0,64.0,1,1,26.55,3
84,1,0,1,39.0,1,0,71.2833,0
85,1,1,0,38.0,1,0,71.2833,0
86,1,1,1,51.0,0,0,26.55,3
87,1,1,1,27.0,0,0,30.5,3
88,1,1,0,33.0,0,0,151.55,3
89,1,0,1,31.0,1,0,52.0,3
90,1,1,0,27.0,1,2,52.0,3
91,1,1,1,31.0,1,0,57.0,3
92,1,1,0,17.0,1,0,57.0,3
93,1,1,1,53.0,1,1,81.8583,3
94,1,1,1,4.0,0,2,81.8583,3
95,1,1,0,54.0,1,1,81.8583,3
96,1,0,1,50.0,1,0,106.425,0
97,1,1,0,27.0,1,1,247.5208,0
98,1,1,0,48.0,1,0,106.425,0
99,1,1,0,48.0,1,0,39.6,0
100,1,1,1,49.0,1,0,56.9292,0
101,1,0,1,39.0,0,0,29.7,0
102,1,1,0,23.0,0,1,83.1583,0
103,1,1,0,38.0,0,0,227.525,0
104,1,1,0,54.0,1,0,78.2667,0
105,1,0,0,36.0,0,0,31.6792,0
106,1,0,1,28.0,0,0,221.7792,3
107,1,1,0,28.0,0,0,31.6833,3
108,1,1,0,28.0,0,0,110.8833,0
109,1,1,1,36.0,0,0,26.3875,3
110,1,0,1,30.0,0,0,27.75,0
111,1,1,0,24.0,3,2,263.0,3
112,1,1,0,28.0,3,2,263.0,3
113,1,1,0,23.0,3,2,263.0,3
114,1,0,1,19.0,3,2,263.0,3
115,1,0,1,64.0,1,4,263.0,3
116,1,1,0,60.0,1,4,263.0,3
117,1,1,0,30.0,0,0,56.9292,0
118,1,0,1,28.0,0,0,26.55,3
119,1,1,1,50.0,2,0,133.65,3
120,1,1,1,43.0,1,0,27.7208,0
121,1,1,0,28.0,1,0,133.65,3
122,1,1,0,22.0,0,2,49.5,0
123,1,1,1,60.0,1,1,79.2,0
124,1,1,0,48.0,1,1,79.2,0
125,1,0,1,28.0,0,0,0.0,3
126,1,0,1,37.0,1,0,53.1,3
127,1,1,0,35.0,1,0,53.1,3
128,1,0,1,47.0,0,0,38.5,3
129,1,1,0,35.0,0,0,211.5,0
130,1,1,0,22.0,0,1,59.4,0
131,1,1,0,45.0,0,1,59.4,0
132,1,0,1,24.0,0,0,79.2,0
133,1,1,1,49.0,1,0,89.1042,0
134,1,1,0,28.0,1,0,89.1042,0
135,1,0,1,71.0,0,0,34.6542,0
136,1,1,1,53.0,0,0,28.5,0
137,1,1,0,19.0,0,0,30.0,3
138,1,0,1,38.0,0,1,153.4625,3
139,1,1,0,58.0,0,1,153.4625,3
140,1,1,1,23.0,0,1,63.3583,0
141,1,1,0,45.0,0,1,63.3583,0
142,1,0,1,46.0,0,0,79.2,0
143,1,1,1,25.0,1,0,55.4417,0
144,1,1,0,25.0,1,0,55.4417,0
145,1,1,1,48.0,1,0,76.7292,0
146,1,1,0,49.0,1,0,76.7292,0
147,1,0,1,28.0,0,0,42.4,3
148,1,0,1,45.0,1,0,83.475,3
149,1,1,0,35.0,1,0,83.475,3
150,1,0,1,40.0,0,0,0.0,3
151,1,1,1,27.0,0,0,76.7292,0
152,1,1,1,28.0,0,0,30.0,3
153,1,1,0,24.0,0,0,83.1583,0
154,1,0,1,55.0,1,1,93.5,3
155,1,1,0,52.0,1,1,93.5,3
156,1,0,1,42.0,0,0,42.5,3
157,1,0,1,28.0,0,0,51.8625,3
158,1,0,1,55.0,0,0,50.0,3
159,1,1,0,16.0,0,1,57.9792,0
160,1,1,0,44.0,0,1,57.9792,0
161,1,1,0,51.0,1,0,77.9583,3
162,1,0,1,42.0,1,0,52.0,3
163,1,1,0,35.0,1,0,52.0,3
164,1,1,1,35.0,0,0,26.55,0
165,1,1,1,38.0,1,0,90.0,3
166,1,0,1,28.0,0,0,30.6958,0
167,1,1,0,35.0,1,0,90.0,3
168,1,1,0,38.0,0,0,80.0,1
169,1,0,0,50.0,0,0,28.7125,0
170,1,1,1,49.0,0,0,0.0,3
171,1,0,1,46.0,0,0,26.0,3
172,1,0,1,50.0,0,0,26.0,3
173,1,0,1,32.5,0,0,211.5,0
174,1,0,1,58.0,0,0,29.7,0
175,1,0,1,41.0,1,0,51.8625,3
176,1,1,0,28.0,1,0,51.8625,3
177,1,1,1,42.0,1,0,52.5542,3
178,1,1,0,45.0,1,0,52.5542,3
179,1,0,1,28.0,0,0,26.55,3
180,1,1,0,39.0,0,0,211.3375,3
181,1,1,0,49.0,0,0,25.9292,3
182,1,1,0,30.0,0,0,106.425,0
183,1,1,1,35.0,0,0,512.3292,0
184,1,0,1,28.0,0,0,27.7208,0
185,1,0,1,42.0,0,0,26.55,3
186,1,1,0,55.0,0,0,27.7208,0
187,1,1,0,16.0,0,1,39.4,3
188,1,1,0,51.0,0,1,39.4,3
189,1,0,1,29.0,0,0,30.0,3
190,1,1,0,21.0,0,0,77.9583,3
191,1,0,1,30.0,0,0,45.5,3
192,1,1,0,58.0,0,0,146.5208,0
193,1,1,0,15.0,0,1,211.3375,3
194,1,0,1,30.0,0,0,26.0,3
195,1,1,0,16.0,0,0,86.5,3
196,1,1,1,28.0,0,0,29.7,0
197,1,0,1,19.0,1,0,53.1,3
198,1,1,0,18.0,1,0,53.1,3
199,1,1,0,24.0,0,0,49.5042,0
200,1,0,1,46.0,0,0,75.2417,0
201,1,0,1,54.0,0,0,51.8625,3
202,1,1,1,36.0,0,0,26.2875,3
